Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Juvenile_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Juvenile_CD49bpos
chr8	117852050	117854519	Merged-chr8-117853346-49	Mphosph6	1.5490044709365e-12	0.819455137167868
chr4	88513532	88516332	Merged-chr4-88515078-59	Ifnb1	1.66611660078585e-11	0.586280424155124
chr2	178055735	178056562	Merged-chr2-178056075-21	Zfp931	3.51707384920461e-11	1.63405634010415
chr5	105138147	105140997	Merged-chr5-105139553-49	Gbp4	4.44582923765575e-11	0.772303880746047
chr2	170837619	170839306	Merged-chr2-170838390-24	Dok5	8.25379408955437e-11	1.65571540737521
chr17	50160381	50161933	Merged-chr17-50161448-23	Rftn1	9.17893410012535e-11	1.37235657620382
chr9	56936920	56938993	Merged-chr9-56937814-57	Imp3	9.51771354185489e-11	0.536923611142998
chr13	101623964	101627706	Merged-chr13-101625643-75	Pik3r1	1.08462004254164e-10	0.609799280683412
chr9	71512187	71513828	Merged-chr9-71513100-38	Polr2m	1.44552502436215e-10	1.06689585847987
chr19	43598782	43601816	Merged-chr19-43600372-58	Nkx2-3	1.79933990756114e-10	0.420584824920462
chr5	76652354	76653896	Merged-chr5-76653142-28	Cep135	2.53247147313022e-10	0.879610873972966
chr18	75250249	75251467	Merged-chr18-75250781-44	2010010A06Rik	2.7031756970301e-10	0.770716521376493
chr18	4186045	4187339	Merged-chr18-4186754-31	Lyzl1	2.89512954672255e-10	0.844352165699724
chr3	68973471	68974416	Merged-chr3-68973904-26	Ift80	3.63894115558357e-10	1.13423016636665
chr13	97461378	97464072	Merged-chr13-97462360-46	Lncenc1	3.69713844009808e-10	0.643526017936563
chr19	31910125	31910979	Merged-chr19-31910575-52	A1cf	4.3447113827372e-10	0.783606749528588
chr11	9985945	9987010	Merged-chr11-9986390-26	Abca13	8.30189103237664e-10	1.48014290251435
chr17	72157518	72159803	Merged-chr17-72159022-57	Clip4	9.26947705348646e-10	0.783937330449188
chr2	97466046	97467478	Merged-chr2-97466578-51	Lrrc4c	9.43295012370589e-10	0.902230889503049
