ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0050794	regulation of cellular process	0.668373	483.902	571	1.179991	0.788674	6.17317e-13	8.08067953e-09	11181	638.0931	720	1.128362	0.5896806	0.06439496	7.229319e-07	7.75670374672131e-05
GO:0065007	biological regulation	0.7141606	517.0523	598	1.156556	0.8259669	1.945131e-12	1.2730882395e-08	12332	703.7799	794	1.128194	0.6502867	0.06438534	3.357098e-08	6.866314503125e-06
GO:0044238	primary metabolic process	0.5060814	366.4029	456	1.244531	0.6298343	1.340325e-11	5.84828475e-08	7840	447.4242	536	1.197968	0.4389844	0.06836735	4.899653e-08	9.03330391126761e-06
GO:0050789	regulation of biological process	0.6887307	498.641	578	1.159151	0.7983425	2.331728e-11	7.63057988e-08	11715	668.5681	749	1.120305	0.6134316	0.06393513	9.813295e-07	9.95783190310078e-05
GO:0043170	macromolecule metabolic process	0.455129	329.5134	416	1.262468	0.5745856	7.660471e-11	1.85208075616667e-07	6610	377.2288	470	1.245928	0.3849304	0.07110439	3.703608e-09	1.077338416e-06
GO:0009987	cellular process	0.8087012	585.4996	649	1.108455	0.8964088	8.489293e-11	1.85208075616667e-07	14736	840.9748	918	1.09159	0.7518428	0.06229642	3.462053e-07	4.559562469e-05
GO:0044699	single-organism process	0.7764693	562.1638	629	1.118891	0.8687845	1.775714e-10	3.32058518e-07	13115	748.4653	837	1.118288	0.6855037	0.06382005	3.456284e-08	6.96042424e-06
GO:0044767	single-organism developmental process	0.4639297	335.8851	419	1.24745	0.5787293	3.876656e-10	6.34317838e-07	5348	305.2072	450	1.474408	0.3685504	0.08414361	1.866239e-21	1.7311675535e-17
GO:0048519	negative regulation of biological process	0.3896151	282.0813	364	1.290408	0.5027624	4.43027e-10	6.359434851e-07	4806	274.2756	392	1.429219	0.3210483	0.08156471	8.642474e-16	8.70230651230769e-13
GO:0032502	developmental process	0.4659767	337.3671	420	1.244935	0.5801105	4.858239e-10	6.359434851e-07	5388	307.49	452	1.469967	0.3701884	0.08389013	2.645023e-21	1.7311675535e-17
GO:0071704	organic substance metabolic process	0.5299766	383.703	465	1.211875	0.6422652	6.457207e-10	7.68407633e-07	8229	469.6242	550	1.171149	0.4504505	0.0668368	7.937665e-07	8.37935764919355e-05
GO:0002682	regulation of immune system process	0.09012561	65.25094	116	1.777752	0.160221	1.25599e-09	1.37007575833333e-06	1150	65.62982	112	1.706541	0.09172809	0.0973913	1.634384e-08	3.6886356137931e-06
GO:0002376	immune system process	0.1251584	90.61467	147	1.622254	0.2030387	2.464239e-09	2.48129911615385e-06	1744	99.52905	137	1.376483	0.1122031	0.07855505	6.898153e-05	0.00357550245652174
GO:0044707	single-multicellular organism process	0.4717849	341.5723	420	1.229608	0.5801105	3.304825e-09	2.828414386875e-06	5396	307.9465	450	1.461293	0.3685504	0.08339511	1.183877e-20	3.8742374825e-17
GO:0048523	negative regulation of cellular process	0.3689604	267.1273	344	1.287775	0.4751381	3.412703e-09	2.828414386875e-06	4473	255.2715	369	1.44552	0.3022113	0.08249497	1.818342e-15	1.70014977e-12
GO:0044260	cellular macromolecule metabolic process	0.4198781	303.9918	382	1.256613	0.5276243	3.457191e-09	2.828414386875e-06	5948	339.4488	428	1.260867	0.3505324	0.07195696	7.117366e-09	1.90135348857143e-06
GO:1902563	regulation of neutrophil activation	0.0004801374	0.3476195	8	23.01367	0.01104972	3.749518e-09	2.88712886e-06	10	0.5706941	4	7.009009	0.003276003	0.4	0.00167899	0.0486238475663717
GO:0008152	metabolic process	0.5484657	397.0891	474	1.193687	0.6546961	4.028762e-09	2.92980525444444e-06	8684	495.5907	569	1.148125	0.4660115	0.0655228	6.786785e-06	0.000548388985493827
GO:0044763	single-organism cellular process	0.6416077	464.524	537	1.156022	0.7417127	5.414383e-09	3.73022491947368e-06	8980	512.4833	654	1.276139	0.5356265	0.07282851	3.162402e-17	4.59953802e-14
GO:0048518	positive regulation of biological process	0.4300224	311.3362	388	1.246241	0.5359116	6.606706e-09	4.324089077e-06	5281	301.3835	438	1.453298	0.3587224	0.08293884	1.740119e-19	3.79635961833333e-16
GO:0044237	cellular metabolic process	0.5035851	364.5956	441	1.209559	0.609116	7.341344e-09	4.57610442666667e-06	7645	436.2956	517	1.184976	0.4234234	0.0676259	5.287505e-07	6.17977146875e-05
GO:1902564	negative regulation of neutrophil activation	0.0001923281	0.1392456	6	43.08934	0.008287293	8.810281e-09	5.242117195e-06	3	0.1712082	3	17.52252	0.002457002	1	0.0001854399	0.00822850268135593
GO:0007275	multicellular organism development	0.4324649	313.1046	388	1.239203	0.5359116	1.430485e-08	8.1413255e-06	4722	269.4817	407	1.510306	0.3333333	0.08619229	7.090609e-21	3.09386906033333e-17
GO:0050776	regulation of immune response	0.04306017	31.17556	66	2.117043	0.09116022	1.584127e-08	8.64009267916667e-06	617	35.21183	60	1.703973	0.04914005	0.09724473	3.949709e-05	0.00229785292488889
GO:0019538	protein metabolic process	0.2695062	195.1225	263	1.347871	0.3632597	2.151934e-08	1.1267526424e-05	3734	213.0972	255	1.196637	0.2088452	0.06829138	0.0008133173	0.027298265274359
GO:0048856	anatomical structure development	0.4475872	324.0531	398	1.228194	0.5497238	2.250021e-08	1.13279903423077e-05	5040	287.6298	425	1.477594	0.3480753	0.0843254	3.843186e-20	1.0061460948e-16
GO:0043300	regulation of leukocyte degranulation	0.002307342	1.670516	13	7.782028	0.0179558	2.489893e-08	1.2071370137037e-05	44	2.511054	9	3.584152	0.007371007	0.2045455	0.0007211748	0.0249920980422164
GO:0050896	response to stimulus	0.5096722	369.0027	442	1.197823	0.6104972	3.077459e-08	1.4387120825e-05	8144	464.7733	503	1.082248	0.4119574	0.06176326	0.01125802	0.197808700402685
GO:0048583	regulation of response to stimulus	0.2979167	215.6917	284	1.316694	0.3922652	3.795563e-08	1.71323860931034e-05	3491	199.2293	286	1.435532	0.2342342	0.08192495	2.459584e-11	1.23830594461538e-08
GO:0043313	regulation of neutrophil degranulation	0.0004497148	0.3255935	7	21.4992	0.009668508	5.641413e-08	2.44244536516129e-05	9	0.5136247	3	5.840841	0.002457002	0.3333333	0.01201234	0.20420978
GO:0048731	system development	0.3977869	287.9977	359	1.246538	0.4958564	5.784248e-08	2.44244536516129e-05	4168	237.8653	363	1.526074	0.2972973	0.08709213	5.839699e-19	1.092023713e-15
