ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0008152	metabolic process	0.5484657	1004.241	1246	1.240738	0.6805025	6.61218e-31	8.65534362e-27	8684	1042.729	1209	1.159457	0.4706111	0.1392216	8.373679e-13	1.40527510397436e-10
GO:0044238	primary metabolic process	0.5060814	926.6351	1166	1.258316	0.6368105	1.269019e-29	8.305729355e-26	7840	941.3863	1097	1.165303	0.4270144	0.1399235	9.477757e-12	1.2406383913e-09
GO:0044237	cellular metabolic process	0.5035851	922.0643	1158	1.255878	0.6324413	8.475021e-29	3.697934163e-25	7645	917.9717	1084	1.180864	0.4219541	0.141792	3.1344e-13	5.4705728e-11
GO:0071704	organic substance metabolic process	0.5299766	970.3871	1204	1.240742	0.6575642	1.318809e-28	4.3158024525e-25	8229	988.0954	1151	1.164867	0.4480343	0.1398712	1.587472e-12	2.47381053333333e-10
GO:0002376	immune system process	0.1251584	229.165	399	1.741104	0.2179137	1.893113e-28	4.956169834e-25	1744	209.4104	300	1.432593	0.116777	0.1720183	2.014353e-11	2.41907163027523e-09
GO:0009987	cellular process	0.8087012	1480.732	1652	1.115665	0.9022392	2.642604e-28	5.76528106e-25	14736	1769.422	1879	1.061929	0.731413	0.1275109	2.704347e-07	1.27797480974729e-05
GO:0048518	positive regulation of biological process	0.4300224	787.371	1017	1.29164	0.5554342	3.089619e-27	5.77758753e-24	5281	634.1149	899	1.417724	0.3499416	0.1702329	4.987712e-36	9.32702144e-33
GO:0048522	positive regulation of cellular process	0.4018015	735.6985	962	1.307601	0.525396	9.353749e-27	1.530507180125e-23	4820	578.7605	829	1.432372	0.3226937	0.1719917	3.924695e-34	6.42178219375e-31
GO:0009893	positive regulation of metabolic process	0.2732537	500.3275	698	1.395086	0.3812125	7.721562e-24	1.12305829533333e-20	3106	372.9523	550	1.47472	0.2140911	0.1770766	4.363319e-24	2.48329763956522e-21
GO:0043170	macromolecule metabolic process	0.455129	833.3412	1046	1.255188	0.5712725	1.508586e-23	1.93781504e-20	6610	793.6943	938	1.181815	0.3651226	0.1419062	5.101812e-11	6.04850809279279e-09
GO:0065007	biological regulation	0.7141606	1307.628	1492	1.140997	0.8148553	1.628416e-23	1.93781504e-20	12332	1480.762	1596	1.077823	0.6212534	0.1294194	4.652329e-07	2.02996622033333e-05
GO:0050789	regulation of biological process	0.6887307	1261.066	1448	1.148235	0.7908247	8.517635e-23	9.29132017916667e-20	11715	1406.676	1514	1.076296	0.5893344	0.129236	3.002156e-06	0.00011164267625
GO:0031325	positive regulation of cellular metabolic process	0.2552997	467.4538	656	1.403347	0.3582742	1.261457e-22	1.27019016384615e-19	2914	349.8979	512	1.463284	0.1992993	0.1757035	1.611364e-21	6.80411443870968e-19
GO:0050794	regulation of cellular process	0.668373	1223.791	1413	1.154609	0.7717094	1.99619e-22	1.86643765e-19	11181	1342.556	1447	1.077795	0.5632542	0.129416	5.84407e-06	0.000198183617357513
GO:0044260	cellular macromolecule metabolic process	0.4198781	768.7968	973	1.265614	0.5314036	5.299253e-22	4.62448145133333e-19	5948	714.2048	853	1.194335	0.3320358	0.1434095	8.01788e-11	9.04776286206896e-09
GO:0002682	regulation of immune system process	0.09012561	165.02	293	1.775543	0.1600218	1.136668e-21	9.299365075e-19	1150	138.086	214	1.549759	0.0833009	0.186087	1.805354e-11	2.18815591296296e-09
GO:0010604	positive regulation of macromolecule metabolic process	0.2610257	477.938	660	1.380932	0.3604588	4.912826e-21	3.78287602e-18	2912	349.6578	515	1.472869	0.2004671	0.1768544	2.726204e-22	1.18953367866667e-19
